a,b,c
4394988971094315965,15668011321525746691,16461171650524537362
6925151209192905717,11171626336570382211,11170690937987759264
6468352402265059049,882731024930971506,14824116347872883327
11438270915402701253,13279756200502627639,12453270708468736133
18155102601753055592,15969146811279938874,3022459335365437991
15739433772650082151,2406014616573611027,15083585122553943609
17016111084274105068,7176268184309102048,13909869842018750167
15729092502683197024,2119507523210373568,16622023325398422012
9292396676024885365,11552959040916023517,1159344898871018637
12900821263652831281,1603945718697135084,4632415949386505009
